Sequence Id,Sample Id,Location,Location+Start
DQ203533.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203532.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203531.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203525.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203521.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203520.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203517.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203514.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203512.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203510.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203509.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203508.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203507.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203506.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203503.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203502.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203501.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203500.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203497.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203496.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203494.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203493.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203492.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203489.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203656.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203655.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203653.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203652.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203651.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203650.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203647.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203644.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203642.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203641.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203639.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203638.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203635.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203634.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203633.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203631.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203628.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203627.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203626.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203625.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203623.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203622.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203621.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203620.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203617.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203615.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203614.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203613.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203612.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203610.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203608.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203602.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203601.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203596.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203593.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203590.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203589.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203588.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203587.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203585.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203584.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203583.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203582.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203581.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203580.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203578.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203577.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203576.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203574.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203571.1,Med20_May03,Mediterranean Sea,Med-Strat
